#Model -- progenitor mass 11 M_odot 
#The quantity in all columns except the first one is 4*pi*d^2 *Integral_time( Equation 2.1 from 1804.03157) 
#Neutrino energy [MeV]	 Nu_e (NO) [MeV ^-1] Nu_x (NO) [MeV ^-1] Nu_e_bar (NO) [MeV ^-1] Nu_x_bar (NO) [MeV ^-1]	Nu_e (IO) [MeV ^-1] Nu_x (IO) [MeV ^-1] Nu_e_bar (IO) [MeV ^-1] Nu_x_bar (IO) [MeV ^-1]	Nu_e (no FC) [MeV ^-1] Nu_x (no FC) [MeV ^-1] Nu_e_bar (no FC) [MeV ^-1] Nu_x_bar (no FC) [MeV ^-1]
0.0 	 0.0 	 0.0 	 0.0 	 0.0 	0.0 	 0.0 	 0.0 	 0.0 	0.0 	 0.0 	 0.0 	 0.0 
0.1 	 3.3065108838083637e52 	 3.1710141196675145e52 	 2.517390385137254e52 	 3.1398190003764154e52 	3.2260258059086996e52 	 3.211256658617347e52 	 3.3065108838083637e52 	 2.745258751040861e52 	3.035517355526666e52 	 3.3065108838083637e52 	 2.1840066182733576e52 	 3.3065108838083637e52 
0.2 	 1.5981734428540858e53 	 1.3359208851780527e53 	 1.225854798811731e53 	 1.5195257634226638e53 	1.4423954235945224e53 	 1.4138098948078343e53 	 1.5981734428540858e53 	 1.3333664414014865e53 	1.0736683275020194e53 	 1.5981734428540858e53 	 1.068559439948887e53 	 1.5981734428540858e53 
0.3 	 3.977785049075501e53 	 3.368954737621251e53 	 3.0728897026926043e53 	 3.786637170074278e53 	3.6161398440716766e53 	 3.5497773401231634e53 	 3.977785049075501e53 	 3.3341894968828286e53 	2.7601244261670013e53 	 3.977785049075501e53 	 2.690593944690157e53 	 3.977785049075501e53 
0.4 	 7.539237595744787e53 	 6.593361188562411e53 	 5.86282606964843e53 	 7.185116526576496e53 	6.9773870098784565e53 	 6.874286481495578e53 	 7.539237595744787e53 	 6.346910763528317e53 	5.647484781380035e53 	 7.539237595744787e53 	 5.1545839313118485e53 	 7.539237595744787e53 
0.5 	 1.2304187751358325e54 	 1.1129971371135769e54 	 9.627989520883513e53 	 1.1738874184892452e54 	1.1606703221506127e54 	 1.1478713636061869e54 	 1.2304187751358325e54 	 1.0400775069655046e54 	9.955754990913213e53 	 1.2304187751358325e54 	 8.497362387951766e53 	 1.2304187751358325e54 
0.6 	 1.826547634237646e54 	 1.7060659390335095e54 	 1.4377621121445683e54 	 1.7444215317755945e54 	1.7549815072863888e54 	 1.7418490025091378e54 	 1.826547634237646e54 	 1.550028770729056e54 	1.5855842438293726e54 	 1.826547634237646e54 	 1.2735099072204658e54 	 1.826547634237646e54 
0.7 	 2.53969727201168e54 	 2.443768631946167e54 	 2.0105356045888936e54 	 2.427918456062486e54 	2.4827156598127655e54 	 2.4722594380456242e54 	 2.53969727201168e54 	 2.1633376223510925e54 	2.347839991880654e54 	 2.53969727201168e54 	 1.7869779726905052e54 	 2.53969727201168e54 
0.8 	 3.3659516313919284e54 	 3.3289794006708454e54 	 2.6793751459605315e54 	 3.2209208944266903e54 	3.343990126343605e54 	 3.3399601531950064e54 	 3.3659516313919284e54 	 2.877632651710992e54 	3.292007169949762e54 	 3.3659516313919284e54 	 2.3893136720300555e54 	 3.3659516313919284e54 
0.9 	 4.3004856915618294e54 	 4.362659714808013e54 	 3.441729707387192e54 	 4.119084178546277e54 	4.337417061370062e54 	 4.344194029903896e54 	 4.3004856915618294e54 	 3.689706186458958e54 	4.424833738054197e54 	 4.3004856915618294e54 	 3.0789266813560864e54 	 4.3004856915618294e54 
1.0 	 5.3378427754467327e54 	 5.544194480912307e54 	 4.29445402600439e54 	 5.117439888829111e54 	5.4604156884932835e54 	 5.482908024389031e54 	 5.3378427754467327e54 	 4.5957455141079406e54 	5.75054618637788e54 	 5.3378427754467327e54 	 3.853648252769147e54 	 5.3378427754467327e54 
1.1 	 6.472137611439961e54 	 6.871659477988687e54 	 5.233964867381844e54 	 6.210589030369364e54 	6.709453600169905e54 	 6.753001483623716e54 	 6.472137611439961e54 	 5.591502658340304e54 	7.271181344537415e54 	 6.472137611439961e54 	 4.7108677052406484e54 	 6.472137611439961e54 
1.2 	 7.697209134779267e54 	 8.342039712113073e54 	 6.256359316222197e54 	 7.392847544372831e54 	8.080238497715548e54 	 8.150525030644932e54 	 7.697209134779267e54 	 6.672422635094297e54 	8.986870289446879e54 	 7.697209134779267e54 	 5.6476361354093254e54 	 7.697209134779267e54 
1.3 	 9.006737648919761e54 	 9.951410880937204e54 	 7.357506245214032e54 	 8.658358042304826e54 	9.567873548738122e54 	 9.670842931028023e54 	 9.006737648919761e54 	 7.833742340451961e54 	1.0896084112954646e55 	 9.006737648919761e54 	 6.660747031984159e54 	 9.006737648919761e54 
1.4 	 1.039433580052233e55 	 1.1695092029409226e55 	 8.53311816697096e54 	 1.0001176741372432e55 	1.1166985000481146e55 	 1.1308767429429816e55 	 1.039433580052233e55 	 9.070567924596746e54 	1.299584825829612e55 	 1.039433580052233e55 	 7.746800048671163e54 	 1.039433580052233e55 
1.5 	 1.1853619774446092e55 	 1.356777505901981e55 	 9.778808341331164e54 	 1.1415341683667192e55 	1.2871828013482884e55 	 1.3058670939501416e55 	 1.1853619774446092e55 	 1.037793596710973e55 	1.5281930343593528e55 	 1.1853619774446092e55 	 8.902252159773366e54 	 1.1853619774446092e55 
