# Model -- progenitor mass 11 M_odot 
# The quantity in all columns except the first one is 4*pi*d^2 *Integral_time( Equation 2.1 from 1804.03157) 
# Neutrino energy [MeV]	 Nu_e (NO) [MeV ^-1] Nu_x (NO) [MeV ^-1] Nu_e_bar (NO) [MeV ^-1] Nu_x_bar (NO) [MeV ^-1]	Nu_e (IO) [MeV ^-1] Nu_x (IO) [MeV ^-1] Nu_e_bar (IO) [MeV ^-1] Nu_x_bar (IO) [MeV ^-1]
0.0 	 0.0 	 0.0 	 0.0 	 0.0 	0.0 	 0.0 	 0.0 	 0.0 
0.1 	 3.3065108838083637e52 	 3.1710141196675145e52 	 3.187612339672044e52 	 3.281395046248985e52 	3.2260258059086996e52 	 3.211256658617347e52 	 3.3065108838083637e52 	 3.221945774180825e52 
0.2 	 1.5981734428540858e53 	 1.3359208851780527e53 	 1.5459816841580069e53 	 1.5871485834424677e53 	1.4423954235945224e53 	 1.4138098948078343e53 	 1.5981734428540858e53 	 1.561052704094428e53 
0.3 	 3.977785049075501e53 	 3.368954737621251e53 	 3.858008698325696e53 	 3.952483785794781e53 	3.6161398440716766e53 	 3.5497773401231634e53 	 3.977785049075501e53 	 3.892595610419878e53 
0.4 	 7.539237595744787e53 	 6.593361188562411e53 	 7.328485517170392e53 	 7.494718842304818e53 	6.9773870098784565e53 	 6.874286481495578e53 	 7.539237595744787e53 	 7.389342803017621e53 
0.5 	 1.2304187751358325e54 	 1.1129971371135769e54 	 1.1983727878192165e54 	 1.2236494591806157e54 	1.1606703221506127e54 	 1.1478713636061869e54 	 1.2304187751358325e54 	 1.2076264655223077e54 
0.6 	 1.826547634237646e54 	 1.7060659390335095e54 	 1.7821402965632074e54 	 1.8171671368768292e54 	1.7549815072863888e54 	 1.7418490025091378e54 	 1.826547634237646e54 	 1.79496346803961e54 
0.7 	 2.53969727201168e54 	 2.443768631946167e54 	 2.4820104197910564e54 	 2.527511642488547e54 	2.4827156598127655e54 	 2.4722594380456242e54 	 2.53969727201168e54 	 2.4986682163782354e54 
0.8 	 3.3659516313919284e54 	 3.3289794006708454e54 	 3.294515510198017e54 	 3.350861639930626e54 	3.343990126343605e54 	 3.3399601531950064e54 	 3.3659516313919284e54 	 3.3151435793336695e54 
0.9 	 4.3004856915618294e54 	 4.362659714808013e54 	 4.215247666446442e54 	 4.282480219684681e54 	4.337417061370062e54 	 4.344194029903896e54 	 4.3004856915618294e54 	 4.239861207126988e54 
1.0 	 5.3378427754467327e54 	 5.544194480912307e54 	 5.2391323215529866e54 	 5.3169914206768585e54 	5.4604156884932835e54 	 5.482908024389031e54 	 5.3378427754467327e54 	 5.267636193729986e54 
1.1 	 6.472137611439961e54 	 6.871659477988687e54 	 6.36062970866618e54 	 6.44858295487964e54 	6.709453600169905e54 	 6.753001483623716e54 	 6.472137611439961e54 	 6.392829003492749e54 
1.2 	 7.697209134779267e54 	 8.342039712113073e54 	 7.573887388206089e54 	 7.671158950759186e54 	8.080238497715548e54 	 8.150525030644932e54 	 7.697209134779267e54 	 7.609498077472596e54 
1.3 	 9.006737648919761e54 	 9.951410880937204e54 	 8.87285798161368e54 	 8.978457235555674e54 	9.567873548738122e54 	 9.670842931028023e54 	 9.006737648919761e54 	 8.911517401902634e54 
1.4 	 1.039433580052233e55 	 1.1695092029409226e55 	 1.0251391268428735e55 	 1.0364140547299147e55 	1.1166985000481146e55 	 1.1308767429429816e55 	 1.039433580052233e55 	 1.0292668281252349e55 
1.5 	 1.1853619774446092e55 	 1.356777505901981e55 	 1.1703306859863328e55 	 1.1821868042133802e55 	1.2871828013482884e55 	 1.3058670939501416e55 	 1.1853619774446092e55 	 1.174671158484242e55 
1.6 	 1.3378265218647114e55 	 1.5563635254382814e55 	 1.322245182894579e55 	 1.3345351579428558e55 	1.467637501987412e55 	 1.491458035376931e55 	 1.3378265218647114e55 	 1.3267444884577898e55 
1.7 	 1.496205117505304e55 	 1.7676426020829558e55 	 1.480274648382254e55 	 1.4928400041841476e55 	1.6574389833444293e55 	 1.6870256691633932e55 	 1.496205117505304e55 	 1.4848747696226227e55 
1.8 	 1.659889445928533e55 	 1.989956037152797e55 	 1.6438220664143469e55 	 1.6564954119913259e55 	1.8559490011157455e55 	 1.8919262595591905e55 	 1.659889445928533e55 	 1.648461722234233e55 
1.9 	 1.8282876351302463e55 	 2.2226181240400332e55 	 1.812304237761364e55 	 1.8249113413759375e55 	2.0625199455426598e55 	 2.1055019688338267e55 	 1.8282876351302463e55 	 1.8169196426914963e55 
2.0 	 2.00082630429502e55 	 2.4649222355485176e55 	 1.9851540190142833e55 	 1.9975157290970271e55 	2.2764992874595978e55 	 2.3270857439662288e55 	 2.00082630429502e55 	 1.9896795864566585e55 
2.1 	 2.1769520983128386e55 	 2.7161461142577456e55 	 2.1618220486571351e55 	 2.1737560636416125e55 	2.4972333437841135e55 	 2.556005491522108e55 	 2.1769520983128386e55 	 2.1661910388137608e55 
2.2 	 2.3561328032614472e55 	 2.975556491421201e55 	 2.341778049664907e55 	 2.353100540232875e55 	2.7240704740283415e55 	 2.7915876560377546e55 	 2.3561328032614472e55 	 2.3459231634346047e55 
2.3 	 2.5378581166105655e55 	 3.2424131417952114e55 	 2.524511781115805e55 	 2.53503886935456e55 	2.956363801570246e55 	 3.033160299315372e55 	 2.5378581166105655e55 	 2.5283657016071796e55 
2.4 	 2.721640132376211e55 	 3.5159724660679167e55 	 2.7095336981303557e55 	 2.7190827988264115e55 	3.1934735385890843e55 	 3.28005576296148e55 	 2.721640132376211e55 	 2.713029581703483e55 
