#Model -- progenitor mass 11 M_odot 
#The quantity in all columns except the first one is 4*pi*d^2 *Integral_time( Equation 2.1 from 1804.03157) 
#Neutrino energy [MeV]	 Nu_e (NO) [MeV ^-1] Nu_x (NO) [MeV ^-1] Nu_e_bar (NO) [MeV ^-1] Nu_x_bar (NO) [MeV ^-1]	Nu_e (IO) [MeV ^-1] Nu_x (IO) [MeV ^-1] Nu_e_bar (IO) [MeV ^-1] Nu_x_bar (IO) [MeV ^-1]	Nu_e (no FC) [MeV ^-1] Nu_x (no FC) [MeV ^-1] Nu_e_bar (no FC) [MeV ^-1] Nu_x_bar (no FC) [MeV ^-1]
0.0 	 0.0 	 0.0 	 0.0 	 0.0 	0.0 	 0.0 	 0.0 	 0.0 	0.0 	 0.0 	 0.0 	 0.0 
0.1 	 2.51595349984992e52 	 1.3549046698955572e52 	 7.887086492585892e51 	 2.1510945235870293e52 	1.8262904948570287e52 	 1.6997361723920026e52 	 2.51595349984992e52 	 1.2874720982913635e52 	1.9385583994119424e51 	 2.51595349984992e52 	 5.899069673280722e50 	 2.51595349984992e52 
0.2 	 8.714425499099832e52 	 5.065779498204414e52 	 2.9002131808021166e52 	 7.48624551436696e52 	6.547129774567955e52 	 6.149427360470354e52 	 8.714425499099832e52 	 4.579139355218101e52 	1.417133497308996e52 	 8.714425499099832e52 	 4.438532113363692e51 	 8.714425499099832e52 
0.3 	 1.8090272977232036e53 	 1.1344495358807342e53 	 6.393436151802872e52 	 1.561946178437823e53 	1.408328107188777e53 	 1.3347991311479475e53 	 1.8090272977232036e53 	 9.771043371663644e52 	4.5987177403826457e52 	 1.8090272977232036e53 	 1.4518137660952487e52 	 1.8090272977232036e53 
0.4 	 3.042522952996977e53 	 2.0545706821020647e53 	 1.1406097708763471e53 	 2.6407674657353648e53 	2.455679304085399e53 	 2.347992506557854e53 	 3.042522952996977e53 	 1.6898108746750498e53 	1.0666184112071526e53 	 3.042522952996977e53 	 3.370987963531231e52 	 3.042522952996977e53 
0.5 	 4.557539573640221e53 	 3.3059736910203083e53 	 1.8092325623672635e53 	 3.976993924744014e53 	3.814109439363993e53 	 3.6776887581584224e53 	 4.557539573640221e53 	 2.602840419107535e53 	2.0544078084003952e53 	 4.557539573640221e53 	 6.481412645748484e52 	 4.557539573640221e53 
0.6 	 6.3428688023168365e53 	 4.9285259198571475e53 	 2.6609021842739013e53 	 5.565099182431522e53 	5.502749130135782e53 	 5.348585755947675e53 	 6.3428688023168365e53 	 3.724115873410055e53 	3.5141830373974585e53 	 6.3428688023168365e53 	 1.1053629445032742e53 	 6.3428688023168365e53 
0.7 	 8.38887421294197e53 	 6.961483712764645e53 	 3.7109849049243252e53 	 7.400728320707804e53 	7.5410042558366405e53 	 7.38541869131731e53 	 8.38887421294197e53 	 5.06178366669898e53 	5.534093212587319e53 	 8.38887421294197e53 	 1.7346931204559903e53 	 8.38887421294197e53 
0.8 	 1.0686734726725e54 	 9.442538646275064e53 	 4.974181516109545e53 	 9.480028963173942e53 	9.94768225493774e53 	 9.812064882168694e53 	 1.0686734726725e54 	 6.6237523578662145e53 	8.19834256582513e53 	 1.0686734726725e54 	 2.560769989007428e53 	 1.0686734726725e54 
0.9 	 1.3228046369639608e54 	 1.2407138528282812e54 	 6.4643074451659685e53 	 1.1799290707784224e54 	1.274042711187367e54 	 1.265094815716578e54 	 1.3228046369639608e54 	 8.417421245547405e53 	1.1586230686926016e54 	 1.3228046369639608e54 	 3.606796121455201e53 	 1.3228046369639608e54 
1.0 	 1.6004599458659855e54 	 1.5887995583757996e54 	 8.194142601555585e53 	 1.4354737661675526e54 	1.593533675696815e54 	 1.5922626934603848e54 	 1.6004599458659855e54 	 1.0449509233123391e54 	1.5771391708856137e54 	 1.6004599458659855e54 	 4.894419007586929e53 	 1.6004599458659855e54 
1.1 	 1.9008250728977517e54 	 1.9914734383696264e54 	 1.0175327081131867e54 	 1.7142405548742697e54 	1.9546702019880452e54 	 1.96455087382448e54 	 1.9008250728977517e54 	 1.2725943724819871e54 	2.0821218038415015e54 	 1.9008250728977517e54 	 6.443636720662229e53 	 1.9008250728977517e54 
1.2 	 2.2230850524937605e54 	 2.451364780084781e54 	 1.2418289948571654e54 	 2.0158069236757886e54 	2.3586832106828266e54 	 2.3835657009902478e54 	 2.2230850524937605e54 	 1.5251788948574908e54 	2.6796445076758018e54 	 2.2230850524937605e54 	 8.272727372212215e53 	 2.2230850524937605e54 
1.3 	 2.5664203510051047e54 	 2.97075372079152e54 	 1.4932203369756543e54 	 2.3397202057940475e54 	2.806594372658235e54 	 2.8506667099649546e54 	 2.5664203510051047e54 	 1.8031201987793224e54 	3.375087090577934e54 	 2.5664203510051047e54 	 1.0398200465535401e54 	 2.5664203510051047e54 
1.4 	 2.9300050463152353e54 	 3.5515618245117995e54 	 1.7724956934949955e54 	 2.6854956026540617e54 	3.299209772563994e54 	 3.3669594613874206e54 	 2.9300050463152353e54 	 2.106740926243941e54 	4.173118602708364e54 	 2.9300050463152353e54 	 1.283476806172647e54 	 2.9300050463152353e54 
1.5 	 3.31300636078406e54 	 4.195347738776336e54 	 2.080314844880456e54 	 3.0526156209381358e54 	3.837117139311472e54 	 3.93329234951263e54 	 3.31300636078406e54 	 2.4362698629863333e54 	5.077689116768612e54 	 3.31300636078406e54 	 1.5595333651886058e54 	 3.31300636078406e54 
